No. ,"Author, Specimen Name ",Comments ,Specimen_Type,Load_History,Bar_Type,Steel_Origin,Bar_Grade,Nominal Diameter,Gauge Length,Corrosion_Method,Cathode_Type,Cleaning_Method,Current Density,Exposure Duration,Solution Concentration,Mass Loss,Corroded Length,Corrosion Penetration Depth,Fy,ln(Fy)
971,"Tariq and Bhargava (2021), SN-10-6",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,80,5,8.1,500,0.203,39.09,3.665968465
972,"Tariq and Bhargava (2021), SN-10-7",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,80,5,9.8,500,0.245,37.97,3.636901747
973,"Tariq and Bhargava (2021), SN-10-8",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,80,5,11.2,500,0.28,37.81,3.63256973
974,"Tariq and Bhargava (2021), SN-10-9",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,120,5,14.4,500,0.36,37.56,3.626025858
975,"Tariq and Bhargava (2021), SN-10-10",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,120,5,16.3,500,0.408,37.44,3.622842676
976,"Tariq and Bhargava (2021), SN-10-11",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,160,5,18.3,500,0.458,35.62,3.573000044
977,"Tariq and Bhargava (2021), SN-10-12",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,160,5,19.85,500,0.496,33.02,3.497080857
978,"Tariq and Bhargava (2021), SN-10-13",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,160,5,20.73,500,0.518,32.88,3.492742352
979,"Tariq and Bhargava (2021), SN-10-14",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,160,5,21.5,500,0.538,32.66,3.486199097
980,"Tariq and Bhargava (2021), SN-10-15",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,175,5,22.32,500,0.558,32.4,3.47811088
981,"Tariq and Bhargava (2021), SN-10-16",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,175,5,23.4,500,0.585,30.98,3.433190699
982,"Tariq and Bhargava (2021), SN-10-17",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,190,5,24.2,500,0.605,30.82,3.428259572
983,"Tariq and Bhargava (2021), SN-10-18",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,190,5,26.68,500,0.667,26.8,3.288465778
984,"Tariq and Bhargava (2021), SN-10-19",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,235,5,27.3,500,0.683,25.35,3.232728461
985,"Tariq and Bhargava (2021), SN-10-20",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,235,5,29.6,500,0.74,24.12,3.182861033
986,"Tariq and Bhargava (2021), SN-10-21",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,235,5,31.4,500,0.785,20.97,3.043061636
987,"Tariq and Bhargava (2021), SN-10-22",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,275,5,33.16,500,0.829,22.54,3.115402331
988,"Tariq and Bhargava (2021), SN-10-23",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,275,5,36.33,500,0.908,21.76,3.079904038
989,"Tariq and Bhargava (2021), SN-10-24",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,315,5,39.86,500,0.997,22.15,3.097792963
990,"Tariq and Bhargava (2021), SN-10-25",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,10,120,IC,External stainless steel plate,Chemical,200,315,5,42.15,500,1.054,21.95,3.088888502
991,"Tariq and Bhargava (2021), SN-12-1",Control. Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,Control,Control,N/A,0,0,0,0,500,0,66.67,4.199785229
992,"Tariq and Bhargava (2021), SN-12-2",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,25,5,2.75,500,0.083,63.43,4.149929205
993,"Tariq and Bhargava (2021), SN-12-3",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,25,5,3.8,500,0.114,58.29,4.065378635
994,"Tariq and Bhargava (2021), SN-12-4",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,45,5,4.45,500,0.134,57.87,4.058192975
995,"Tariq and Bhargava (2021), SN-12-5",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,45,5,5.86,500,0.176,55.45,4.015510994
996,"Tariq and Bhargava (2021), SN-12-6",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,70,5,6.88,500,0.206,55.15,4.010111987
997,"Tariq and Bhargava (2021), SN-12-7",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,70,5,8.5,500,0.255,55.06,4.008346906
998,"Tariq and Bhargava (2021), SN-12-8",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,95,5,10.18,500,0.305,51.25,3.936760876
999,"Tariq and Bhargava (2021), SN-12-9",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,95,5,11.66,500,0.35,48.76,3.886903214
1000,"Tariq and Bhargava (2021), SN-12-10",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,115,5,13.4,500,0.402,48.22,3.87570724
1001,"Tariq and Bhargava (2021), SN-12-11",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,115,5,14.86,500,0.446,47.87,3.868527444
1002,"Tariq and Bhargava (2021), SN-12-12",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,140,5,15.3,500,0.459,45.1,3.808828199
1003,"Tariq and Bhargava (2021), SN-12-13",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,140,5,16.05,500,0.482,42.9,3.758979168
1004,"Tariq and Bhargava (2021), SN-12-14",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,165,5,16.9,500,0.507,42.4,3.74709952
1005,"Tariq and Bhargava (2021), SN-12-15",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,165,5,18.6,500,0.558,39.42,3.674389992
1006,"Tariq and Bhargava (2021), SN-12-16",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,190,5,19.6,500,0.588,37.51,3.624543589
1007,"Tariq and Bhargava (2021), SN-12-17",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,190,5,21.5,500,0.645,37.31,3.619161867
1008,"Tariq and Bhargava (2021), SN-12-18",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,235,5,23.22,500,0.697,32.61,3.484737923
1009,"Tariq and Bhargava (2021), SN-12-19",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,235,5,25.52,500,0.766,30.5,3.417655452
1010,"Tariq and Bhargava (2021), SN-12-20",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,260,5,27.63,500,0.829,29.02,3.367817123
1011,"Tariq and Bhargava (2021), SN-12-21",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,260,5,29.6,500,0.888,25.23,3.227979169
1012,"Tariq and Bhargava (2021), SN-12-22",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,305,5,31.4,500,0.942,27.12,3.300340488
1013,"Tariq and Bhargava (2021), SN-12-23",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,305,5,34.78,500,1.043,26.18,3.264814206
1014,"Tariq and Bhargava (2021), SN-12-24",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,375,5,38.4,500,1.152,26.65,3.282756323
1015,"Tariq and Bhargava (2021), SN-12-25",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,12,120,IC,External stainless steel plate,Chemical,200,375,5,41.3,500,1.239,26.41,3.273804094
1016,"Tariq and Bhargava (2021), SN-16-1",Control. Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,Control,Control,N/A,0,0,0,0,500,0,123.42,4.815559416
1017,"Tariq and Bhargava (2021), SN-16-2",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,30,5,2.22,500,0.089,117.41,4.765707302
1018,"Tariq and Bhargava (2021), SN-16-3",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,30,5,3.76,500,0.15,108.38,4.685610366
1019,"Tariq and Bhargava (2021), SN-16-4",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,95,5,7.21,500,0.288,103.1,4.635743596
1020,"Tariq and Bhargava (2021), SN-16-5",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,125,5,11.8,500,0.472,102.09,4.625886279
1021,"Tariq and Bhargava (2021), SN-16-6",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,160,5,13.2,500,0.528,91.35,4.514747526
1022,"Tariq and Bhargava (2021), SN-16-7",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,190,5,14.7,500,0.588,89.65,4.495929975
1023,"Tariq and Bhargava (2021), SN-16-8",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,190,5,16.24,500,0.65,86.91,4.464884949
1024,"Tariq and Bhargava (2021), SN-16-9",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,250,5,18.55,500,0.742,84.49,4.436612277
1025,"Tariq and Bhargava (2021), SN-16-10",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,250,5,20.26,500,0.81,80.38,4.386772086
1026,"Tariq and Bhargava (2021), SN-16-11",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,315,5,23.4,500,0.936,75.57,4.325074424
1027,"Tariq and Bhargava (2021), SN-16-12",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,345,5,26.3,500,1.052,75.03,4.317945364
1028,"Tariq and Bhargava (2021), SN-16-13",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,345,5,27.2,500,1.088,71.39,4.268088149
1029,"Tariq and Bhargava (2021), SN-16-14",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,375,5,30.32,500,1.213,69.89,4.246967619
1030,"Tariq and Bhargava (2021), SN-16-15",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,375,5,31.2,500,1.248,63.12,4.145027721
1031,"Tariq and Bhargava (2021), SN-16-16",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,410,5,32.3,500,1.292,62.07,4.128260015
1032,"Tariq and Bhargava (2021), SN-16-17",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,410,5,33.45,500,1.338,60.05,4.095163493
1033,"Tariq and Bhargava (2021), SN-16-18",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,440,5,35.1,500,1.404,54.67,4.00140237
1034,"Tariq and Bhargava (2021), SN-16-19",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,440,5,36.47,500,1.459,57.36,4.049398948
1035,"Tariq and Bhargava (2021), SN-16-20",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,470,5,37.2,500,1.488,56.02,4.025670645
1036,"Tariq and Bhargava (2021), SN-16-21",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,470,5,38.1,500,1.524,56.69,4.03758744
1037,"Tariq and Bhargava (2021), SN-16-22",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,500,5,39.24,500,1.57,56.35,4.031646794
1038,"Tariq and Bhargava (2021), SN-16-23",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,500,5,40.85,500,1.634,56.52,4.034639315
1039,"Tariq and Bhargava (2021), SN-16-24",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,535,5,42.4,500,1.696,56.44,4.033144174
1040,"Tariq and Bhargava (2021), SN-16-25",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,16,160,IC,External stainless steel plate,Chemical,200,535,5,44.5,500,1.78,56.48,4.033892024
1041,"Tariq and Bhargava (2021), SN-20-1",Control. Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,Control,Control,N/A,0,0,0,0,500,0,200,5.298302016
1042,"Tariq and Bhargava (2021), SN-20-2",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,40,5,1.95,500,0.098,190.27,5.248447054
1043,"Tariq and Bhargava (2021), SN-20-3",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,40,5,2.7,500,0.135,185.02,5.220469104
1044,"Tariq and Bhargava (2021), SN-20-4",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,40,5,3.32,500,0.166,176.02,5.1705993
1045,"Tariq and Bhargava (2021), SN-20-5",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,40,5,3.86,500,0.193,165.45,5.108643008
1046,"Tariq and Bhargava (2021), SN-20-6",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,80,5,4.2,500,0.21,164.05,5.100176299
1047,"Tariq and Bhargava (2021), SN-20-7",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,80,5,5.4,500,0.27,162.18,5.088677824
1048,"Tariq and Bhargava (2021), SN-20-8",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,120,5,6.8,500,0.34,156.07,5.050312194
1049,"Tariq and Bhargava (2021), SN-20-9",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,120,5,7.75,500,0.388,154.29,5.03883329
1050,"Tariq and Bhargava (2021), SN-20-10",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,160,5,8.22,500,0.411,153.06,5.030798984
1051,"Tariq and Bhargava (2021), SN-20-11",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,160,5,10.33,500,0.517,143.66,4.967418819
1052,"Tariq and Bhargava (2021), SN-20-12",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,200,5,12.1,500,0.605,136.67,4.917559787
1053,"Tariq and Bhargava (2021), SN-20-13",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,200,5,13.8,500,0.69,135.71,4.910500934
1054,"Tariq and Bhargava (2021), SN-20-14",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,235,5,15.12,500,0.756,134.16,4.899022479
1055,"Tariq and Bhargava (2021), SN-20-15",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,275,5,17.36,500,0.868,118.84,4.777753019
1056,"Tariq and Bhargava (2021), SN-20-16",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,275,5,18.32,500,0.916,109.13,4.692535287
1057,"Tariq and Bhargava (2021), SN-20-17",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,390,5,25.53,500,1.277,103.82,4.642690936
1058,"Tariq and Bhargava (2021), SN-20-18",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,390,5,26.23,500,1.312,94.96,4.553465451
1059,"Tariq and Bhargava (2021), SN-20-19",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,430,5,28.62,500,1.431,90.34,4.503611102
1060,"Tariq and Bhargava (2021), SN-20-20",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,470,5,29.2,500,1.46,90.28,4.502880578
1061,"Tariq and Bhargava (2021), SN-20-21",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,470,5,30.5,500,1.525,83.58,4.425829054
1062,"Tariq and Bhargava (2021), SN-20-22",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,550,5,33.2,500,1.66,86.93,4.465114819
1063,"Tariq and Bhargava (2021), SN-20-23",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,550,5,36.6,500,1.83,85.26,4.445664846
1064,"Tariq and Bhargava (2021), SN-20-24",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,630,5,38.66,500,1.933,86.09,4.455418874
1065,"Tariq and Bhargava (2021), SN-20-25",Super ductile thermo-mechanically treated (SD TMT) bars.,Bare,None,D,India,SD TMT,20,200,IC,External stainless steel plate,Chemical,200,630,5,42.2,500,2.11,85.67,4.450553752
1066,"Matthews et al. (2023), B1",Control.,Bare,None,D,New Zealand,500E,25,225,Control,Control,N/A,0,0,0,0,0,0,263.01,5.572195856
1067,"Matthews et al. (2023), B2",Control.,Bare,None,D,New Zealand,500E,25,225,Control,Control,N/A,0,0,0,0,0,0,262.31,5.569521292
1068,"Matthews et al. (2023), B3",Control.,Bare,None,D,New Zealand,500E,25,225,Control,Control,N/A,0,0,0,0,0,0,260.31,5.561857478
1069,"Matthews et al. (2023), B4",Control.,Bare,None,D,New Zealand,500E,25,225,Control,Control,N/A,0,0,0,0,0,0,261.22,5.565348417
1070,"Matthews et al. (2023), B5",Control.,Bare,None,D,New Zealand,500E,25,225,Control,Control,N/A,0,0,0,0,0,0,261.52,5.566499673
1071,"Matthews et al. (2023), B6",Control.,Bare,None,D,New Zealand,500E,25,225,Control,Control,N/A,0,0,0,0,0,0,262.43,5.569992763
1072,"Matthews et al. (2023), B7",Control.,Bare,None,D,New Zealand,500E,25,225,Control,Control,N/A,0,0,0,0,0,0,261.75,5.567391378
1073,"Matthews et al. (2023), B8",Control.,Bare,None,D,New Zealand,500E,25,225,Control,Control,N/A,0,0,0,0,0,0,259.96,5.56053739
1074,"Matthews et al. (2023), B9",Control.,Bare,None,D,New Zealand,500E,25,225,Control,Control,N/A,0,0,0,0,0,0,263.67,5.574700597
1075,"Matthews et al. (2023), B10",Control.,Bare,None,D,New Zealand,500E,25,225,Control,Control,N/A,0,0,0,0,0,0,259.62,5.559213246
1076,"Matthews et al. (2023), B11",Control.,Bare,None,D,New Zealand,500E,25,225,Control,Control,N/A,0,0,0,0,0,0,261.99,5.568294503
1077,"Matthews et al. (2023), B12",Control.,Bare,None,D,New Zealand,500E,25,225,Control,Control,N/A,0,0,0,0,0,0,262.15,5.568925633
1078,"Matthews et al. (2023), CS1",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,300,26,3.5,3.84,460,0.24,253.76,5.536402337
1079,"Matthews et al. (2023), CS2",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,300,65,3.5,11.32,460,0.708,232.93,5.450724241
1080,"Matthews et al. (2023), CS3",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,300,131,3.5,24.27,460,1.517,186.87,5.230401415
1081,"Matthews et al. (2023), CS4",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,1500,5,3.5,5.09,460,0.318,254,5.537342928
1082,"Matthews et al. (2023), CS5",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,1500,13,3.5,12.34,460,0.771,238.28,5.473432603
1083,"Matthews et al. (2023), CS6",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,1500,26,3.5,15.16,460,0.947,227,5.42496896
1084,"Matthews et al. (2023), CS7",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,300,26,3.5,3.17,460,0.198,254.28,5.538432089
1085,"Matthews et al. (2023), CS8",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,300,65,3.5,10.88,460,0.68,235.19,5.460379667
1086,"Matthews et al. (2023), CS9",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,300,131,3.5,23.06,460,1.441,196,5.278095271
1087,"Matthews et al. (2023), CS10",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,1500,5,3.5,4.26,460,0.266,254.4,5.538921982
1088,"Matthews et al. (2023), CS11",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,1500,13,3.5,10.14,460,0.634,237.75,5.471231899
1089,"Matthews et al. (2023), CS12",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,1500,26,3.5,16.58,460,1.036,225.31,5.417485221
1090,"Matthews et al. (2023), WD1",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,300,26,3.5,2.86,460,0.179,256.31,5.546405596
1091,"Matthews et al. (2023), WD2",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,300,65,3.5,5.93,460,0.371,248.37,5.51492722
1092,"Matthews et al. (2023), WD3",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,300,131,3.5,11.16,460,0.698,234.09,5.455699676
1093,"Matthews et al. (2023), WD4",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,1500,5,3.5,3.64,460,0.228,257.18,5.54976573
1094,"Matthews et al. (2023), WD5",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,1500,13,3.5,7.26,460,0.454,245.2,5.502053812
1095,"Matthews et al. (2023), WD6",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,1500,26,3.5,12.14,460,0.759,238.86,5.475874257
1096,"Matthews et al. (2023), WD7",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,300,26,3.5,2.26,460,0.141,258.27,5.553995482
1097,"Matthews et al. (2023), WD8",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,300,65,3.5,6.75,460,0.422,245.02,5.501328412
1098,"Matthews et al. (2023), WD9",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,300,131,3.5,14.7,460,0.919,223.42,5.409041323
1099,"Matthews et al. (2023), WD10",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,1500,5,3.5,2.58,460,0.161,255.84,5.54454365
1100,"Matthews et al. (2023), WD11",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,1500,13,3.5,7.26,460,0.454,248.15,5.514030178
1101,"Matthews et al. (2023), WD12",,Embedded,None,D,New Zealand,500E,25,225,IC,External stainless steel bars,Sandblasting,1500,26,3.5,10.28,460,0.642,235.47,5.461575872
